aashish@aashish-Erazer-P6679:~/Documents/ProjectAI/ivd/OpenNMT/ivdModels/Oracle$ python3 trainOracleBOW.py 
Oracle (
  (word_embeddings): Embedding(3700, 300)
  (obj_cat_embedding): Embedding(91, 512)
  (mlp1): Linear (820 -> 256)
  (mlp2): Linear (256 -> 256)
  (mlp3): Linear (256 -> 3)
)
Epoch 000, Time taken 149.06, Training-Loss 0.76979, Validation-Loss 0.77350, Training Accuracy 56.54054, Validation Accuracy 55.75740
Epoch 001, Time taken 301.66, Training-Loss 0.76371, Validation-Loss 0.77220, Training Accuracy 57.32673, Validation Accuracy 55.13971
Epoch 002, Time taken 389.79, Training-Loss 0.76167, Validation-Loss 0.76315, Training Accuracy 57.60757, Validation Accuracy 57.63480
Epoch 003, Time taken 286.16, Training-Loss 0.75976, Validation-Loss 0.76124, Training Accuracy 57.97880, Validation Accuracy 56.51275
Epoch 004, Time taken 216.89, Training-Loss 0.75589, Validation-Loss 0.75531, Training Accuracy 58.30145, Validation Accuracy 58.84988
Epoch 005, Time taken 200.99, Training-Loss 0.73666, Validation-Loss 0.71574, Training Accuracy 59.38199, Validation Accuracy 58.51514
Epoch 006, Time taken 197.89, Training-Loss 0.71288, Validation-Loss 0.71798, Training Accuracy 60.82665, Validation Accuracy 60.56037
Epoch 007, Time taken 201.35, Training-Loss 0.70733, Validation-Loss 0.70621, Training Accuracy 61.03995, Validation Accuracy 60.46970
Epoch 008, Time taken 193.88, Training-Loss 0.70415, Validation-Loss 0.70959, Training Accuracy 61.07473, Validation Accuracy 60.41578
Epoch 009, Time taken 195.46, Training-Loss 0.70180, Validation-Loss 0.69991, Training Accuracy 61.27836, Validation Accuracy 61.19690
Epoch 010, Time taken 194.30, Training-Loss 0.69942, Validation-Loss 0.70465, Training Accuracy 61.30779, Validation Accuracy 61.09061
Epoch 011, Time taken 194.00, Training-Loss 0.69639, Validation-Loss 0.69651, Training Accuracy 61.54500, Validation Accuracy 61.15038
Epoch 012, Time taken 195.65, Training-Loss 0.69323, Validation-Loss 0.68799, Training Accuracy 61.65467, Validation Accuracy 61.99899
Epoch 013, Time taken 193.16, Training-Loss 0.69092, Validation-Loss 0.71668, Training Accuracy 61.73524, Validation Accuracy 61.63502
