aashish@aashish-Erazer-P6679:~/Documents/ProjectAI/ivd/OpenNMT/ivdModels/Oracle$ python3 trainOracle.py 
Oracle (
  (word_embeddings): Embedding(3700, 300)
  (obj_cat_embedding): Embedding(91, 512)
  (lstm): LSTM(300, 128)
  (mlp1): Linear (648 -> 256)
  (mlp2): Linear (256 -> 256)
  (mlp3): Linear (256 -> 3)
)
Epoch 000, Time taken 464.56, Training-Loss 0.77608, Validation-Loss 0.76293, Training Accuracy 56.36929, Validation Accuracy 57.24491
Epoch 001, Time taken 492.93, Training-Loss 0.76232, Validation-Loss 0.76013, Training Accuracy 57.22299, Validation Accuracy 57.44528
Epoch 002, Time taken 423.92, Training-Loss 0.76080, Validation-Loss 0.75972, Training Accuracy 57.47922, Validation Accuracy 57.42304
Epoch 003, Time taken 386.00, Training-Loss 0.76015, Validation-Loss 0.75902, Training Accuracy 57.63084, Validation Accuracy 57.72704
Epoch 004, Time taken 354.07, Training-Loss 0.75969, Validation-Loss 0.75893, Training Accuracy 57.73490, Validation Accuracy 57.71796
Epoch 005, Time taken 352.86, Training-Loss 0.75958, Validation-Loss 0.75876, Training Accuracy 57.76404, Validation Accuracy 57.78191
Epoch 006, Time taken 337.40, Training-Loss 0.75937, Validation-Loss 0.75861, Training Accuracy 57.79135, Validation Accuracy 57.78026
Epoch 007, Time taken 264.67, Training-Loss 0.75922, Validation-Loss 0.75866, Training Accuracy 57.79354, Validation Accuracy 57.75521
Epoch 008, Time taken 221.07, Training-Loss 0.75913, Validation-Loss 0.75840, Training Accuracy 57.79428, Validation Accuracy 57.83163
Epoch 009, Time taken 221.28, Training-Loss 0.75913, Validation-Loss 0.75822, Training Accuracy 57.82132, Validation Accuracy 57.90985
Epoch 010, Time taken 219.97, Training-Loss 0.75902, Validation-Loss 0.75824, Training Accuracy 57.90064, Validation Accuracy 57.92566
Epoch 011, Time taken 219.92, Training-Loss 0.75887, Validation-Loss 0.75813, Training Accuracy 57.86082, Validation Accuracy 57.92324
Epoch 012, Time taken 219.47, Training-Loss 0.75888, Validation-Loss 0.75884, Training Accuracy 57.89122, Validation Accuracy 57.59063
Epoch 013, Time taken 218.54, Training-Loss 0.75882, Validation-Loss 0.75794, Training Accuracy 57.91333, Validation Accuracy 58.01870
Epoch 014, Time taken 218.24, Training-Loss 0.75882, Validation-Loss 0.75791, Training Accuracy 57.90144, Validation Accuracy 57.96459
Epoch 015, Time taken 219.45, Training-Loss 0.75874, Validation-Loss 0.75788, Training Accuracy 57.93346, Validation Accuracy 57.90812
Epoch 016, Time taken 218.51, Training-Loss 0.75865, Validation-Loss 0.75808, Training Accuracy 57.91651, Validation Accuracy 57.96056
Epoch 017, Time taken 217.76, Training-Loss 0.75855, Validation-Loss 0.75801, Training Accuracy 57.94686, Validation Accuracy 57.89749
Epoch 018, Time taken 234.59, Training-Loss 0.75857, Validation-Loss 0.75792, Training Accuracy 57.92667, Validation Accuracy 57.93227
Epoch 019, Time taken 232.58, Training-Loss 0.75848, Validation-Loss 0.75824, Training Accuracy 57.95511, Validation Accuracy 58.01879
