Epoch 000, Time taken 87.96, Training-Loss 148.37952, Validation-Loss 159.31419
Epoch 001, Time taken 87.64, Training-Loss 135.74384, Validation-Loss 146.72978
Epoch 002, Time taken 87.73, Training-Loss 119.17775, Validation-Loss 130.15816
Epoch 003, Time taken 87.98, Training-Loss 101.86349, Validation-Loss 112.50497
Epoch 004, Time taken 88.95, Training-Loss 85.56830, Validation-Loss 96.97065
Epoch 005, Time taken 87.94, Training-Loss 71.66581, Validation-Loss 84.95809
Epoch 006, Time taken 88.10, Training-Loss 60.95948, Validation-Loss 77.03310
Epoch 007, Time taken 87.80, Training-Loss 53.34388, Validation-Loss 70.86783
Epoch 008, Time taken 88.12, Training-Loss 48.07921, Validation-Loss 67.41228
Epoch 009, Time taken 89.34, Training-Loss 44.26587, Validation-Loss 65.40721
Epoch 010, Time taken 88.58, Training-Loss 41.35341, Validation-Loss 63.74605
Epoch 011, Time taken 88.23, Training-Loss 39.20802, Validation-Loss 62.66157
Epoch 012, Time taken 87.90, Training-Loss 37.50063, Validation-Loss 62.09302
Epoch 013, Time taken 87.94, Training-Loss 36.12765, Validation-Loss 61.45104
Epoch 014, Time taken 88.37, Training-Loss 34.53122, Validation-Loss 61.06901
Epoch 015, Time taken 88.23, Training-Loss 33.25767, Validation-Loss 60.87099
Epoch 016, Time taken 88.18, Training-Loss 32.05398, Validation-Loss 60.73780
Epoch 017, Time taken 88.04, Training-Loss 30.92292, Validation-Loss 60.47383
Epoch 018, Time taken 87.79, Training-Loss 29.95029, Validation-Loss 60.41578
Epoch 019, Time taken 87.68, Training-Loss 28.74582, Validation-Loss 60.18483
Epoch 020, Time taken 88.00, Training-Loss 27.91905, Validation-Loss 60.14275
Epoch 021, Time taken 87.66, Training-Loss 26.95388, Validation-Loss 60.44190
Epoch 022, Time taken 87.89, Training-Loss 26.07569, Validation-Loss 60.24196
Epoch 023, Time taken 87.80, Training-Loss 25.26621, Validation-Loss 59.90123
Epoch 024, Time taken 88.15, Training-Loss 24.23658, Validation-Loss 60.43582
Epoch 025, Time taken 92.13, Training-Loss 23.84440, Validation-Loss 60.09310
Epoch 026, Time taken 88.94, Training-Loss 22.83417, Validation-Loss 60.37436
Epoch 027, Time taken 87.91, Training-Loss 22.34712, Validation-Loss 60.05492
Epoch 028, Time taken 87.63, Training-Loss 21.38211, Validation-Loss 60.43717
Epoch 029, Time taken 89.95, Training-Loss 20.88630, Validation-Loss 60.97619
Epoch 030, Time taken 88.18, Training-Loss 20.73672, Validation-Loss 61.00953
Epoch 031, Time taken 89.79, Training-Loss 19.82052, Validation-Loss 61.15668
Epoch 032, Time taken 87.33, Training-Loss 19.05385, Validation-Loss 61.46303
Epoch 033, Time taken 89.92, Training-Loss 18.56273, Validation-Loss 61.67994
Epoch 034, Time taken 87.40, Training-Loss 17.84523, Validation-Loss 62.10779
Epoch 035, Time taken 87.31, Training-Loss 17.56594, Validation-Loss 62.35783
Epoch 036, Time taken 90.19, Training-Loss 16.96081, Validation-Loss 62.48957
Epoch 037, Time taken 88.18, Training-Loss 16.57526, Validation-Loss 62.64813
Epoch 038, Time taken 87.51, Training-Loss 16.07104, Validation-Loss 62.56163
Epoch 039, Time taken 86.39, Training-Loss 15.58031, Validation-Loss 63.11681
Epoch 040, Time taken 86.67, Training-Loss 15.19387, Validation-Loss 62.95314
Epoch 041, Time taken 88.45, Training-Loss 14.64296, Validation-Loss 62.99237
Epoch 042, Time taken 88.99, Training-Loss 14.43228, Validation-Loss 63.52229
Epoch 043, Time taken 87.09, Training-Loss 13.99131, Validation-Loss 62.90642
Epoch 044, Time taken 87.08, Training-Loss 13.52134, Validation-Loss 63.87251
Epoch 045, Time taken 86.56, Training-Loss 13.06456, Validation-Loss 63.35169
Epoch 046, Time taken 86.36, Training-Loss 12.73512, Validation-Loss 63.22139
Epoch 047, Time taken 86.64, Training-Loss 12.30978, Validation-Loss 63.79647
Epoch 048, Time taken 86.73, Training-Loss 12.04606, Validation-Loss 63.75727
Epoch 049, Time taken 86.52, Training-Loss 11.69273, Validation-Loss 64.40810
Epoch 050, Time taken 87.61, Training-Loss 11.31148, Validation-Loss 63.91386
Epoch 051, Time taken 87.85, Training-Loss 11.02913, Validation-Loss 64.37837
Epoch 052, Time taken 86.99, Training-Loss 10.66961, Validation-Loss 64.28912
Epoch 053, Time taken 93.97, Training-Loss 10.51211, Validation-Loss 64.43077
Epoch 054, Time taken 90.24, Training-Loss 10.38563, Validation-Loss 64.25941
Epoch 055, Time taken 89.87, Training-Loss 9.93211, Validation-Loss 64.65501
Epoch 056, Time taken 86.69, Training-Loss 9.64081, Validation-Loss 65.48195
Epoch 057, Time taken 87.00, Training-Loss 9.45673, Validation-Loss 64.59040
Epoch 058, Time taken 86.57, Training-Loss 9.24976, Validation-Loss 65.48473
Epoch 059, Time taken 86.50, Training-Loss 8.91993, Validation-Loss 64.95784
Epoch 060, Time taken 86.85, Training-Loss 8.74419, Validation-Loss 65.52222
Epoch 061, Time taken 86.91, Training-Loss 8.45787, Validation-Loss 65.36732
Epoch 062, Time taken 86.74, Training-Loss 8.27534, Validation-Loss 65.89809
Epoch 063, Time taken 86.88, Training-Loss 8.03971, Validation-Loss 65.64162
Epoch 064, Time taken 86.95, Training-Loss 7.81605, Validation-Loss 65.65742
Epoch 065, Time taken 86.57, Training-Loss 7.46509, Validation-Loss 65.82622
Epoch 066, Time taken 89.63, Training-Loss 7.30116, Validation-Loss 66.38786
Epoch 067, Time taken 88.82, Training-Loss 6.98154, Validation-Loss 65.67729
Epoch 068, Time taken 89.91, Training-Loss 6.89460, Validation-Loss 66.28069
Epoch 069, Time taken 87.65, Training-Loss 6.80641, Validation-Loss 66.20000
Epoch 070, Time taken 87.59, Training-Loss 6.48597, Validation-Loss 66.16498
Epoch 071, Time taken 87.32, Training-Loss 6.25607, Validation-Loss 66.16634
